127.0.0.1, 2019-01-26 15:30:26, GET, /, HTTP/1.1, 303, 15.015064
127.0.0.1, 2019-01-26 15:30:27, GET, /welcome/default/index, HTTP/1.1, 200, 0.515824
127.0.0.1, 2019-01-26 15:30:27, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001683
127.0.0.1, 2019-01-26 15:30:27, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002641
127.0.0.1, 2019-01-26 15:30:27, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004563
127.0.0.1, 2019-01-26 15:30:27, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.009295
127.0.0.1, 2019-01-26 15:30:27, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003454
127.0.0.1, 2019-01-26 15:30:27, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.008639
127.0.0.1, 2019-01-26 15:30:27, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.016859
127.0.0.1, 2019-01-26 15:30:27, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.003633
127.0.0.1, 2019-01-26 15:30:27, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.004201
127.0.0.1, 2019-01-26 15:30:27, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000852
127.0.0.1, 2019-01-26 15:30:27, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-01-26 15:30:27, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001621
127.0.0.1, 2019-01-26 15:35:04, GET, /, HTTP/1.1, 200, 15.195675
127.0.0.1, 2019-01-26 15:35:04, GET, /init/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.005506
127.0.0.1, 2019-01-26 15:35:04, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004944
127.0.0.1, 2019-01-26 15:35:04, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.007187
127.0.0.1, 2019-01-26 15:35:04, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.001242
127.0.0.1, 2019-01-26 15:35:04, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.002347
127.0.0.1, 2019-01-26 15:35:04, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.044025
127.0.0.1, 2019-01-26 15:35:04, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.058594
127.0.0.1, 2019-01-26 15:35:04, GET, /init/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.044766
127.0.0.1, 2019-01-26 15:35:04, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000940
127.0.0.1, 2019-01-26 15:35:05, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000327
127.0.0.1, 2019-01-26 15:35:05, GET, /init/static/images/favicon.png, HTTP/1.1, 200, 0.002103
127.0.0.1, 2019-01-26 15:35:05, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.001536
127.0.0.1, 2019-01-26 15:36:46, GET, /init/static/page.html, HTTP/1.1, 200, 0.000554
127.0.0.1, 2019-01-26 15:36:46, GET, /favicon.ico, HTTP/1.1, 400, 0.001035
127.0.0.1, 2019-01-26 15:49:23, GET, /, HTTP/1.1, 200, 0.021834
127.0.0.1, 2019-01-26 15:49:25, GET, /, HTTP/1.1, 200, 0.016288
